id,s_id,name,t_total_pop,m_total_pop,f_total_pop,t_main_pop,t_main,t_main_rel,f_main_pop,f_main,f_main_rel,m_main_pop,m_main,m_main_rel
01001,01,Flensburg,85942,42767,43175,45383,4054,8.9,21736,2487,11.4,23647,1567,6.6
01002,01,Kiel,246306,119835,126471,137964,11458,8.3,68747,6853,10,69217,4605,6.7
01003,01,Lübeck,216253,103683,112570,115788,7876,6.8,58697,5200,8.9,57091,2676,4.7
01004,01,Neumünster,79197,39118,40079,41698,3262,7.8,20512,2122,10.3,21186,1140,5.4
01051,01,Dithmarschen,132917,65512,67405,68820,5468,7.9,34317,4179,12.2,34503,1289,3.7
01053,01,Herzogtum Lauenburg,192999,94684,98315,103817,6017,5.8,52270,4237,8.1,51547,1780,3.5
01054,01,Nordfriesland,163960,80319,83641,85944,6503,7.6,43346,4675,10.8,42598,1828,4.3
01055,01,Ostholstein,199574,96412,103162,103517,7884,7.6,53126,5482,10.3,50391,2402,4.8
01056,01,Pinneberg,307471,150455,157016,165739,9144,5.5,83371,6570,7.9,82368,2574,3.1
01057,01,Plön,128304,62349,65955,66505,4561,6.9,34008,3212,9.4,32497,1349,4.2
01058,01,Rendsburg-Eckernförde,270378,133002,137376,142749,9548,6.7,72098,6738,9.3,70651,2810,4
01059,01,Schleswig-Flensburg,196839,97496,99343,102999,6852,6.7,51546,4683,9.1,51453,2169,4.2
01060,01,Segeberg,267503,131777,135726,145798,8595,5.9,73178,6038,8.3,72620,2557,3.5
01061,01,Steinburg,131457,65047,66410,70346,4850,6.9,34818,3689,10.6,35528,1161,3.3
01062,01,Stormarn,239614,117002,122612,127815,7471,5.8,64795,5287,8.2,63020,2184,3.5
02000,02,Hamburg,1787408,873062,914346,1022561,56521,5.5,512825,37187,7.3,509736,19334,3.8
03101,03,Braunschweig,251364,125001,126363,139926,9857,7,67842,6450,9.5,72084,3407,4.7
03102,03,Salzgitter,101079,49898,51181,52622,3146,6,25865,2377,9.2,26757,769,2.9
03103,03,Wolfsburg,124045,61581,62464,67867,4614,6.8,33100,3403,10.3,34767,1211,3.5
03151,03,Gifhorn,174205,87129,87076,96379,5338,5.5,47581,4078,8.6,48798,1260,2.6
03152,03,Göttingen,255653,126142,129511,137935,9470,6.9,68983,5949,8.6,68952,3521,5.1
03153,03,Goslar,138236,68245,69991,71401,4636,6.5,35057,3115,8.9,36344,1521,4.2
03154,03,Helmstedt,91500,45354,46146,49934,2524,5.1,24565,1920,7.8,25369,604,2.4
03155,03,Northeim,134896,66394,68502,71321,4446,6.2,35345,3185,9,35976,1261,3.5
03156,03,Osterode am Harz,73885,36192,37693,37921,2473,6.5,18733,1859,9.9,19188,614,3.2
03157,03,Peine,132320,65493,66827,71355,4233,5.9,35400,3120,8.8,35955,1113,3.1
03158,03,Wolfenbüttel,120981,59846,61135,64647,3334,5.2,32090,2432,7.6,32557,902,2.8
03241,03,Region Hannover,1144481,559775,584706,626541,42159,6.7,312832,27605,8.8,313709,14554,4.6
