f_mean,f_o5,f_sum,f_u1,f_u2,f_u5,m_mean,m_o5,m_sum,m_u1,m_u2,m_u5,t_mean,t_o5,t_sum,t_u1,t_u2,t_u5,state,name,ags,f_o5_rel
834,2302,19699,8174,3898,5325,692,1223,14122,6703,3085,3111,775,3525,33821,14877,6983,8436,05,Bielefeld,05711,11.685872379308595
929,2594,18469,7084,3399,5392,750,1322,12907,5875,2615,3095,855,3916,31376,12959,6014,8487,05,Bochum,05911,14.04515674914722
879,2588,20145,8105,3967,5485,787,1640,14519,6472,2853,3554,840,4228,34664,14577,6820,9039,05,Bonn,05314,12.84686026309258
1050,935,5689,1797,1068,1889,859,490,3747,1481,731,1045,974,1425,9436,3278,1799,2934,05,Bottrop,05512,16.435225874494638
885,5363,40959,16411,7981,11204,784,3226,28889,12933,5583,7147,843,8589,69848,29344,13564,18351,05,Düsseldorf,05111,13.093581386264313
902,3879,30263,11560,6114,8710,765,2334,20892,9871,3980,4707,846,6213,51155,21431,10094,13417,05,Dortmund,05913,12.817632091993522
979,3028,20617,7193,3855,6541,810,1695,14141,6295,2610,3541,910,4723,34758,13488,6465,10082,05,Duisburg,05112,14.686908861619052
922,4246,31846,11848,6111,9641,778,2399,22044,9868,4258,5519,863,6645,53890,21716,10369,15160,05,Essen,05113,13.332914651761602
976,1932,12975,4658,2467,3918,813,1117,9582,4126,1914,2425,907,3049,22557,8784,4381,6343,05,Gelsenkirchen,05513,14.890173410404625
973,1535,9986,3491,2028,2932,836,826,6808,2701,1405,1876,917,2361,16794,6192,3433,4808,05,Hagen,05914,15.37152012817945
989,1282,8922,3035,1612,2993,850,670,6281,2470,1192,1949,931,1952,15203,5505,2804,4942,05,Hamm,05915,14.368975566016587
1106,1080,5743,1831,1090,1742,864,547,4021,1555,887,1032,1006,1627,9764,3386,1977,2774,05,Herne,05916,18.805502350687796
1007,1827,11510,4062,2176,3445,901,1074,7590,3094,1392,2030,965,2901,19100,7156,3568,5475,05,Krefeld,05114,15.873153779322328
844,7515,61128,25803,11839,15971,736,4579,44928,21157,8706,10486,798,12094,106056,46960,20545,26457,05,Köln,05315,12.293875147232038
988,1103,7105,2543,1319,2140,851,556,4356,1934,753,1113,936,1659,11461,4477,2072,3253,05,Leverkusen,05316,15.524278676988038
1061,4702,27861,8674,5331,9154,862,2177,17482,6879,3639,4787,984,6879,45343,15553,8970,13941,05,Borken,05554,16.87663759376907
1051,2133,12386,4088,2425,3740,877,958,7452,2990,1469,2035,986,3091,19838,7078,3894,5775,05,Coesfeld,05558,17.221056031002746
